,location,text,location2,point,latitude,longitude,altitude
6439,"New York, USA",This is just down right cruel.,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
6442,"Exit 14, New Jersey, USA",@GOPLeader Ima call it the Republican Coronavirus,"New Jersey, Walnut, Irvine, Orange County, California, 92606, United States of America","(33.7147613, -117.7902856, 0.0)",33.7147613,-117.7902856,0.0
6449,UK,Some useful discussion &amp; information from experts in the field concerning our (over) reaction to #COVID19. Well wor… https://t.co/pOzc5BD2lX,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
6466,Nottingham,"More deadly virus than Coronavirus are actually spreads via WhatsApp forwards, beware before forwarding anything! 

#COVID19","City of Nottingham, East Midlands, England, United Kingdom","(52.9534193, -1.1496461, 0.0)",52.9534193,-1.1496461,0.0
6470,Sri Lanka,Sri Lanka stocks fall to 8 year low amid Coronavirus fears https://t.co/rIfnwjGXNF,ශ්‍රී ලංකාව இலங்கை,"(7.5554942, 80.7137847, 0.0)",7.5554942,80.7137847,0.0
6479,Jersey,Lol yeah coronavirus is why they're gonna do this.,"Jersey, Saint Lawrence, Jersey","(49.21230655, -2.1255999596428845, 0.0)",49.21230655,-2.1255999596428845,0.0
6482,"Wisconsin Rapids, Wisconsin",All these people running into Walmart and buying out the toilet paper. Coronavirus is making the 1% a run of money… https://t.co/jYo7KbWIpB,"Wisconsin Rapids, Wood County, Wisconsin, United States of America","(44.3917589, -89.8228767, 0.0)",44.3917589,-89.8228767,0.0
6492,"Edinburgh, Scotland","[content warning: medication, suicide mention]

so i have a mild cough which i'm fairly certain isn't coronavirus b… https://t.co/Oz2iV8XCVp","Edinburgh, City of Edinburgh, Scotland, EH1 3EG, United Kingdom","(55.9533456, -3.1883749, 0.0)",55.9533456,-3.1883749,0.0
6495,"England, United Kingdom","I don’t think the proposed Coronavirus closed stadium measures will affect my club, Queens Park Rangers, too drastically.","England, United Kingdom","(52.7954791, -0.5402402866174321, 0.0)",52.7954791,-0.5402402866174321,0.0
6499,Jammu And Kashmir,@AjayKum85635619 This was an earlier news piece wherein it was suspected that the deceased was suffering from Coron… https://t.co/5nMbzogXRY,"Jammu and Kashmir, India","(34.0476564, 76.7972892, 0.0)",34.0476564,76.7972892,0.0
6507,"Homestead, FL",A coronavirus case at CPAC undercuts Trump’s message that Covid-19 is under control  https://t.co/oQrARg7NFi via @voxdotcom,"Homestead, Miami-Dade County, Florida, 33030, United States of America","(25.4718946, -80.4759905, 0.0)",25.4718946,-80.4759905,0.0
6508,Nearby,"Shorter Dana Milbank: Trump is the virus and there’s no cure in sight, until November https://t.co/DpLM7ylgAn","Nearby, Heath Road, Old Hall Farm, Tendring, Essex, East of England, England, CO16 0BT, United Kingdom","(51.88317555, 1.112428865777841, 0.0)",51.88317555,1.112428865777841,0.0
6523,Northern Ireland,"Nottingham Forest owner Evangelos Marinakis has announced he has the coronavirus. According to BBC Nottingham, Mari… https://t.co/uvGP7saOak","Northern Ireland, United Kingdom","(54.6294982, -6.7654416, 0.0)",54.6294982,-6.7654416,0.0
6531,"London, UK",@commaficionado I thought about the changes that were due to me as a result of #coronavirus restrictions. Realised… https://t.co/RPcDXc4Yb6,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
6533,"St. John's, Newfoundland",“We’ve Written Off the First Half of the Year’: Coronavirus Attacks Core of the Economy https://t.co/QfjfIhALPQ via @derspiegel,"St. John's, Newfoundland, Newfoundland and Labrador, Canada","(47.561701, -52.715149, 0.0)",47.561701,-52.715149,0.0
6535,New York,The text/email came from the school district that there was a staffer at one of the 7 buildings that tested positiv… https://t.co/6oeMea1bmT,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
6541,"Ukiah, CA",@gtconway3d Wait! Fox tells me the Coronavirus is a Democratic plot to take down Trump! You mean it’s not?,"Ukiah, Mendocino County, California, 95482, United States of America","(39.1501662, -123.2077861, 0.0)",39.1501662,-123.2077861,0.0
6546,"Greenbelt, Maryland","""For a few days, while none of your peers are taking the same steps, moving classes online or canceling campaign ev… https://t.co/STUv8fdeZs","Greenbelt, Prince George's County, Maryland, United States of America","(39.004607, -76.8756838, 0.0)",39.004607,-76.8756838,0.0
6550,"Washington, DC",Has anyone else had a similar experience with #norwegiancruiseline when trying to cancel due to #coronavirus ? Is i… https://t.co/cbeYlAJeBJ,"Washington, District of Columbia, 20500, United States of America","(38.8948932, -77.0365529, 0.0)",38.8948932,-77.0365529,0.0
6562,Pakistan,"#Coronavirus disturbing major public events in Pakistan
#CoronavirusOutbreak #CoronaVirusUpdate… https://t.co/MajKgDRZXH",پاکستان,"(30.3308401, 71.247499, 0.0)",30.3308401,71.247499,0.0
6566,Texas,"Next Christmas....🎄🎄

🎄🎄....expect a gift of toilet paper! 

😂😂😂😂","Texas, United States of America","(31.8160381, -99.5120986, 0.0)",31.8160381,-99.5120986,0.0
6580,"North Carolina, USA","@KeithMalinak The only statue I know of around here is the Dale Earnhardt statue, I don't think I'm gonna be lickin… https://t.co/SQdaQDYYZS","North Carolina, United States of America","(35.6729639, -79.0392919, 0.0)",35.6729639,-79.0392919,0.0
6584,wildrose country,auto loan plus  auto sales down huge  around the world,"Wildrose, Country Club Estates, Rawls Springs, Forrest County, Mississippi, 39401:39402, United States of America","(31.3666416, -89.3781691, 0.0)",31.3666416,-89.3781691,0.0
6599,"Illinois, USA",Tucker Carlson breaks from Fox News' coronavirus coverage: ‘It’s definitely not just the flu’ : https://t.co/xXyK1Ij7Mi via @AOL,"Illinois, United States of America","(40.0796606, -89.4337288, 0.0)",40.0796606,-89.4337288,0.0
6601,Slovakia,Yess,Slovensko,"(48.7411522, 19.4528646, 0.0)",48.7411522,19.4528646,0.0
6603,"new haven,CT",@GOPLeader Racist much leader McCarthy? It's not called the Chinese coronavirus  what is wrong with people,"New Haven, New Haven County, Connecticut, United States of America","(41.3082138, -72.9250518, 0.0)",41.3082138,-72.9250518,0.0
6621,London,it's not going to be much fun for hay fever sufferers this year when the season starts #coronavirus,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
6625,United States,"Trump removed a warning from the CDC that the elderly should avoid airlines due to the Coronavirus.
What he is tell… https://t.co/mplQsNvU2m",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
6660,"London, England",Oh dear.,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
6667,Toronto🇨🇦🇨🇮🇮🇹,Plane carrying Canadians from Grand Princess cruise ship lands at CFB Trenton https://t.co/X8kbPDOff0 #COVID19,"Toronto, Golden Horseshoe, Ontario, M6K 1X9, Canada","(43.653963, -79.387207, 0.0)",43.653963,-79.387207,0.0
6690,"Brainerd, MN",Insurers waiving co-pays on coronavirus testing https://t.co/POZDXHpxPL https://t.co/lcqpPXx4RA,"Brainerd, Crow Wing, Minnesota, 56401, United States of America","(46.3580221, -94.2008288, 0.0)",46.3580221,-94.2008288,0.0
6704,United States,Of course .... every possible grift to help himself,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
6707,making tea,"Coronavirus latest news: Matt Hancock updating Commons on outbreak - watch live

https://t.co/LC0lhJxPiA","Dry herbs for tea making, H-30, Տավուշի մարզ, Armenia","(40.7286246, 45.0038437, 0.0)",40.7286246,45.0038437,0.0
6708,Kansas City,We're going to build a wall around the coronavirus and the coronavirus is going to pay for it.,"Kansas City, Jackson County, Missouri, United States of America","(39.100105, -94.5781416, 0.0)",39.100105,-94.5781416,0.0
6725,"Alameda County, CA","Just wait...those bill &amp; hillary crappy broken down voting machines'll work just gr8 for joe.
#Bernie2020… https://t.co/veB2HaWZNP","Alameda County, California, United States of America","(37.6090291, -121.899142, 0.0)",37.6090291,-121.899142,0.0
6763,"Paris, France","With or without the coronavirus impact on multiple teams’ logistical &amp; technical support, this year’s championship… https://t.co/MEW51uKOFv","Paris, Île-de-France, France métropolitaine, France","(48.8566969, 2.3514616, 0.0)",48.8566969,2.3514616,0.0
6770,"Wisconsin, USA",Calling it the “Chinese Coronavirus” is the new Republican talking points to “shift blame”. How racist and pathetic,"Wisconsin, United States of America","(44.4308975, -89.6884637, 0.0)",44.4308975,-89.6884637,0.0
6772,"Seattle, WA","The @SnoSchools the latest district to close because of #coronavirus concerns
#KOMONews #COVID19","Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624, 0.0)",47.6038321,-122.3300624,0.0
6781,"Toronto, Ontario",Just got a lengthy email from @WestJet’s CEO about their response to #coronavirus &amp; I’ve only flown them once. Have… https://t.co/3p7AEG6y1B,"Toronto, Golden Horseshoe, Ontario, M6K 1X9, Canada","(43.653963, -79.387207, 0.0)",43.653963,-79.387207,0.0
6782,Canada,"BREAKING ‼👀
Royal Bank of #Canada confirms employee has contracted #coronavirus 

In #Mississauga  40 kilometers we… https://t.co/1THXpBUUTO",Canada,"(61.0666922, -107.9917071, 0.0)",61.0666922,-107.9917071,0.0
6788,USA,Trump leaves White House coronavirus briefing without answering questions about health https://t.co/XL6hmBICW6,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
6795,"New York, NY","#COVIDー19 is a good reason for authorities to ban protests but they hardly need the help. Street cleaning, maintena… https://t.co/23nRcmFV9Y","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
6799,cyprus,"#Turkey 0 cases of #CoronaVirus explained ⤵️
Who will report it?",Κύπρος - Kıbrıs,"(34.9823018, 33.1451285, 0.0)",34.9823018,33.1451285,0.0
6803,"London, England",How do I catch coronavirus? Two weeks of isolation sounds fucking fantastic right now,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
6835,北京,BC announces Canada’s first coronavirus death.,"北京市, 东城区, 北京市, 100010, China 中国","(39.906217, 116.3912757, 0.0)",39.906217,116.3912757,0.0
6837,"Los Angeles, California",American racism is like a virus in remission.,"Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666, 0.0)",34.0536909,-118.2427666,0.0
6842,"England, United Kingdom",Nottingham Forest and Olympiacos owner says he has coronavirus https://t.co/PaGqnk7P7u,"England, United Kingdom","(52.7954791, -0.5402402866174321, 0.0)",52.7954791,-0.5402402866174321,0.0
6845,"New York, USA",Atleast they enjoying themselves,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
6849,"Johore, Malaysia",someone pls get this song out of my head hshshshshhshs,"Johor, Malaysia","(2.0222729499999996, 103.37826611191237, 0.0)",2.0222729499999996,103.37826611191237,0.0
6858,"New Delhi, India",Cabinet has approved a $2.4bn medical response to the corona­virus outbreak that will include more than 100 fever c… https://t.co/TjR3yfYodp,"New Delhi, Delhi, India","(28.6141793, 77.2022662, 0.0)",28.6141793,77.2022662,0.0
6859,Right here↩,@WHOAFRO @WHO 1. The Epidemiological Characteristics of an Outbreak of 2019 Novel Coronavirus Diseases (COVID-19) -… https://t.co/B2lAMrtCQs,"Shoes Right Here, OR 99, Grants Pass, Josephine County, Oregon, 97506, United States of America","(42.42482835, -123.32814009114388, 0.0)",42.42482835,-123.32814009114388,0.0
6862,"England, United Kingdom","#coronavirus 

Advice from Prime Minister

Wash your hands

#takeitonthechin

#YouVotedTory pfft🙄","England, United Kingdom","(52.7954791, -0.5402402866174321, 0.0)",52.7954791,-0.5402402866174321,0.0
6874,New York,Passengers Sue Over Coronavirus-hit Cruise Ship https://t.co/Yu9zwZqdLg,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
6888,"Florida, USA",My new Coronavirus hand sanitizer! https://t.co/q2YZj8rzRD,"Florida, United States of America","(27.7567667, -81.4639835, 0.0)",27.7567667,-81.4639835,0.0
6931,United States,"These underlying conditions make coronavirus more severe, and they're surprisingly common https://t.co/QabCEP7a4J",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
6939,France/Italy,"#covid19 offers a look at the impact of a broken #media system.  Frenzy and bad reporting lead to:
🟢Panic = threats… https://t.co/k1QBWwVqOh","France', 41, Corso Cavour, Ticinello, Pavia, Lombardia, 27100, Italia","(45.1867219, 9.1492137, 0.0)",45.1867219,9.1492137,0.0
