,location,text,location2,point,latitude,longitude,altitude
3,Puerto Rico,"Biogen, Eli Lilly, Takeda ask staff to work from home to limit coronavirus spread | FirstWord Pharma https://t.co/uxYoAZ0Zoi","Puerto Rico, Orocovis, Puerto Rico, United States of America","(18.2214149, -66.41328179513847, 0.0)",18.2214149,-66.41328179513847,0.0
11,The pool of life.,"Odious liar, racist, far-right extremist hate preacher, potential terrorist, FBI target, sex offender lick-spittle,… https://t.co/FE7sxSvS6j","{Life, Point Cook, City of Wyndham, Victoria, Australia","(-37.9105144, 144.74777160224443, 0.0)",-37.9105144,144.74777160224443,0.0
13,"North Carolina, USA",@GMA My family has a cruise schedule in April. We’ve received email from cruise line about measures in place to red… https://t.co/JJCWKgBb7Z,"North Carolina, United States of America","(35.6729639, -79.0392919, 0.0)",35.6729639,-79.0392919,0.0
15,"Brooklyn, New York",TODAY • @prattinstitute What is Pratt doing about COVID-19 (#Coronavirus)? Join us for a faculty and staff forum wi… https://t.co/2C17zd4G0Z,"Brooklyn, Kings County, New York, United States of America","(40.6501038, -73.9495823, 0.0)",40.6501038,-73.9495823,0.0
16,"Occoquan, VA","I'm mostly nervous about taking public transportation these days because PEOPLE ARE FOUL!

https://t.co/fbaKWK2JWF","Occoquan, Prince William County, Virginia, 22125, United States of America","(38.6837271, -77.260261, 0.0)",38.6837271,-77.260261,0.0
20,"Austin, TX",Everything we know about the 26 coronavirus deaths in the U.S.  https://t.co/TynXWhmlBJ,"Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995, 0.0)",30.2711286,-97.7436995,0.0
22,Chicago,(4) Donald Trump floats tax cuts as response to coronavirus impact | Financial Times https://t.co/r8qqtUehtI,"Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212, 0.0)",41.8755616,-87.6244212,0.0
26,UK,"Trump news – live: White House sources say president fretting over coronavirus, as Biden opens huge poll lead over… https://t.co/Xq2GGc7SNY",United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
28,Leprechaun Land,@D_Raval @coolhandfinn Projection doesn't make it fact. Nobody can predict the future. It's not the coronavirus tha… https://t.co/HFo4dSXsNo,"Swansea Island, Greenwood Drive, Adamsdale, Sudbury, Greater Sudbury, Sudbury District, Northeastern Ontario, Ontario, P3B 1A2, Canada","(46.476429, -80.9338913, 0.0)",46.476429,-80.9338913,0.0
29,"SOUTH KOREA, WORLD","Dr. Drew and Dr. Oz Rip Media for Coronavirus Panic, Urge Common Sense https://t.co/FCrtRU4Td5","World, 시청로, 죽항동, 남원시, 전라북도, 55775, 대한민국","(35.4135202, 127.3915246, 0.0)",35.4135202,127.3915246,0.0
55,"Berkeley, CA",OK one confirmed coronavirus case visited IKEA. We should just shut down the whole country right now and spare the bother.,"Berkeley, Grey County, Southwestern Ontario, Ontario, N0H 1C0, Canada","(44.3669375, -80.7272504, 0.0)",44.3669375,-80.7272504,0.0
58,India 🇮🇳,"Foreign Investors Set To Turn Net Sellers In Equity Markets This Month

Tracking a global selloff as investors the… https://t.co/7zVImYv9vO",India,"(22.3511148, 78.6677428, 0.0)",22.3511148,78.6677428,0.0
65,London,"That's your prime minister there, suggesting we let people die rather than fighting coronavirus. Well done to those… https://t.co/UCRNvMNqk0","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
68,"New York, NY","One of the easier things to predict, 11 days away ... then the response will be intra-US quarantine for 2 months or… https://t.co/bDQc6gT2BV","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
72,United Kingdom,"David Squires on … British football's reaction to the coronavirus outbreak

https://t.co/H0PoWgKOQj",United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
74,"New Jersey, USA",Wall Street Plunges as Trump Fiddles in Response to the Coronavirus https://t.co/2PHpJySKAX via @NewYorker,"New Jersey, United States of America","(40.0757384, -74.4041622, 0.0)",40.0757384,-74.4041622,0.0
75,"England, United Kingdom","Olympiakos (and Nottm Forest) owner Evangelos Marinakis has announced he's contracted coronavirus

It's been less t… https://t.co/iYEprYDPjj","England, United Kingdom","(52.7954791, -0.5402402866174321, 0.0)",52.7954791,-0.5402402866174321,0.0
87,"Pelotas, Brasil","@AgentX_001 @eatmeetswest I never said I was australian, I never said I didn’t donate, I never said “hey, Miley, no… https://t.co/ue64lmZNQB","Pelotas, Região Geográfica Imediata de Pelotas, Aglomeração Urbana do Sul, Região Geográfica Intermediária de Pelotas, Rio Grande do Sul, Região Sul, Brasil","(-31.7699736, -52.3410161, 0.0)",-31.7699736,-52.3410161,0.0
89,"Norman, OK",What if it turns out we’re all more productive working at home compared to at the office? #CoronaVirus,"Norman, Oklahoma, United States of America","(35.2225717, -97.4394816, 0.0)",35.2225717,-97.4394816,0.0
91,"New York, USA","“We don’t know” how many #coronavirus tests have been done, says US health secretary https://t.co/NoLKj4urZr","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
92,North Jersey,"In light of the #CoronaVirus - the new buzzword is Travel By Tech ( or TxT ) .  
Used to be ""Remote Geographically… https://t.co/TJCOqfVPBJ","Jersey, Saint Lawrence, Jersey","(49.21230655, -2.1255999596428845, 0.0)",49.21230655,-2.1255999596428845,0.0
100,New York,"Bloomberg news President Trump prepares a coronavirus economic package, corporate America's debt binge, and early-w… https://t.co/GHZJvC35RE","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
106,Genovia,Darwin says hi,"Genovia, Via Guglielmo Marconi, Grottaglie, Taranto, Puglia, 74023, Italia","(40.5348787, 17.4328413, 0.0)",40.5348787,17.4328413,0.0
112,Waterford Ireland,"To paraphrase Dr. Regan; A stitch in time saves nine.  Never truer than this.  ""If the Government keeps doing what… https://t.co/MCP7cnODLw","Waterford, County Waterford, Munster, X91 YA2H, Ireland","(52.2609997, -7.1119081, 0.0)",52.2609997,-7.1119081,0.0
118,United Kingdom,NY attorney general tells convicted fraudster Jim Bakker to stop peddling alleged coronavirus cure… https://t.co/5Njym0ZD5P,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
120,"Pacific Quay, Glasgow",Coronavirus: What will happen to school exams? https://t.co/1NXX4nM5cL,"BBC Scotland, Pacific Quay, Yorkhill, Cessnock, Glasgow, Glasgow City, Scotland, G51 1DA, United Kingdom","(55.8580311, -4.290913701874851, 0.0)",55.8580311,-4.290913701874851,0.0
130,Edinburgh,Read this and I now rlly want chicken fried rice n Curry sauce 😂,"Edinburgh, City of Edinburgh, Scotland, EH1 3EG, United Kingdom","(55.9533456, -3.1883749, 0.0)",55.9533456,-3.1883749,0.0
135,UK,Map shows number of coronavirus cases in UK by area - latest updates https://t.co/mlaAeBZVFN https://t.co/NHhilyTN3Y,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
140,"Greenville, South Carolina","Yeah, ok sweetie.  We’re good!  😂😂","Greenville, Greenville County, South Carolina, United States of America","(34.851354, -82.3984882, 0.0)",34.851354,-82.3984882,0.0
155,"Hells Kitchen, N.Y.",@realDonaldTrump Damn it! And here I thought Coronavirus was coming in through planeloads and cruiseloads of Americ… https://t.co/R5oJ9V9t0Z,"Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, New York, United States of America","(40.7644228, -73.9923918, 0.0)",40.7644228,-73.9923918,0.0
160,ilkley,"@AJEnglish That's nice of Xi...
https://t.co/GiZI3gSGoC","Ilkley, Bradford, Yorkshire and the Humber, England, United Kingdom","(53.92023225, -1.824272287202847, 0.0)",53.92023225,-1.824272287202847,0.0
162,"Beijing, People's Republic of ","If you are a bit curious on how life is in China right now,  please click on my video 
#China #外国人 #中国… https://t.co/cMhBF8zBnM","中华人民共和国中央政府（中南海）, 文津街, 什刹海, 西城区, 北京市, 100032, China 中国","(39.91359215, 116.37942684327462, 0.0)",39.91359215,116.37942684327462,0.0
168,Toronto,Sliding in under the Coronavirus mayhem is a far bigger threat to Canada and the USA. The Russians and Saudis are o… https://t.co/xM1Xmn15qS,"Toronto, Golden Horseshoe, Ontario, M6K 1X9, Canada","(43.653963, -79.387207, 0.0)",43.653963,-79.387207,0.0
182,"Philadelphia PA, USA",Apple changes cleaning policy to allow use of Clorox wipes on iPhones amid coronavirus outbreak… https://t.co/o7P7IL6S7u,"Philadelphia, Philadelphia County, Pennsylvania, United States of America","(39.9527237, -75.1635262, 0.0)",39.9527237,-75.1635262,0.0
183,"Washington, DC",Teachers across America confront a thorny question: How to talk about coronavirus in class? https://t.co/HzyTwuGzG8,"Washington, District of Columbia, 20500, United States of America","(38.8948932, -77.0365529, 0.0)",38.8948932,-77.0365529,0.0
202,"Derry, Ireland","Zero hour contract workers must not lose out in #coronavirus emergency: Eamonn McCann
https://t.co/xaMxuuQtbC… https://t.co/NgdtTs7lYO","Derry, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, Ireland","(53.4122928, -7.2858103, 0.0)",53.4122928,-7.2858103,0.0
214,Queensland,Exactly. This chart says it - so when is our government going to DO it?? #coronavirusaustralia #salesmanscott,"Queensland, Australia","(-22.1646782, 144.5844903, 0.0)",-22.1646782,144.5844903,0.0
239,"Jonesboro, AR",Oh my lord in heaven. People have lost it.,"Jonesboro, Craighead County, Arkansas, United States of America","(35.8428646, -90.7034522, 0.0)",35.8428646,-90.7034522,0.0
257,North Carolina,Americans are so ignorant 😂😂😂,"North Carolina, United States of America","(35.6729639, -79.0392919, 0.0)",35.6729639,-79.0392919,0.0
266,España,"@Juanci84
.....POESIAAAAAA",España,"(39.3262345, -4.8380649, 0.0)",39.3262345,-4.8380649,0.0
268,Nigeria,Poland cancels mass events due to coronavirus - Realnews Magazine - https://t.co/UDj6vyzy55 https://t.co/eHV2pjEeQw,Nigeria,"(9.6000359, 7.9999721, 0.0)",9.6000359,7.9999721,0.0
301,"Suffolk, UK","Don't know about you but I'm already scheduling stuff to do if I have to self-isolate!

The list is growing daily!… https://t.co/Oo44TZb9hh","Suffolk, East of England, England, United Kingdom","(52.241001350000005, 1.0466830312565236, 0.0)",52.241001350000005,1.0466830312565236,0.0
302,"New Brunswick, Canada",via @PerilofAfrica  Coronavirus latest: Austria bans travelers from Italy without health certificate: The whole of… https://t.co/AB0N9C1Twb,"New Brunswick, Canada","(46.500283, -66.750183, 0.0)",46.500283,-66.750183,0.0
307,"Maryland, USA",@videogametrash Idk it almost seems like all Democrats on twitter are trying to use the coronavirus as an excuse to… https://t.co/92qIPtlVAq,"Maryland, United States of America","(39.5162234, -76.9382069, 0.0)",39.5162234,-76.9382069,0.0
324,United Kingdom,EXCLUSIVE: A Scottish Women's Rugby player being treated for coronavirus spent days training near to Team GB Olympi… https://t.co/tKEIiFUegM,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
338,"California, USA",@GOPLeader It’s not the “Chinese Coronavirus” and it’s pathetic that you’re playing this game when people are sick and dying.,"California, United States of America","(36.7014631, -118.7559974, 0.0)",36.7014631,-118.7559974,0.0
343,herald,"the guy at the last, same man","Herald, White County, Illinois, United States of America","(37.9664348, -88.1814267, 0.0)",37.9664348,-88.1814267,0.0
357,"New Brunswick, Canada","via @PerilofAfrica Five senior Republicans in self-quarantine over coronavirus: Trump not tested, says White House… https://t.co/eDVvoPyvqk","New Brunswick, Canada","(46.500283, -66.750183, 0.0)",46.500283,-66.750183,0.0
363,Darlington,"Was gonna make a joke saying wonder if he caught it off Diakhaby, but then realised he cant pass a ball never mind… https://t.co/MUjoM4rQOi","Darlington, North East England, England, DL1 5QQ, United Kingdom","(54.5242081, -1.5555812, 0.0)",54.5242081,-1.5555812,0.0
373,"St Louis, MO","The #coronavirus isn’t another Hurricane Katrina. It’s worse, thanks to @realDonaldTrump https://t.co/aOxLS6ZJbw","City of Saint Louis, Missouri, United States of America","(38.6529545, -90.24111656024635, 0.0)",38.6529545,-90.24111656024635,0.0
374,United Kingdom,Manchester United and UEFA statements on LASK Linz fixture amid coronavirus fears https://t.co/emNqXQiO9d https://t.co/Mgrf6spA3x,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
390,"Indiana, USA",Trump administration orders immigration courts to immediately remove coronavirus posters - https://t.co/SJq2HLifzJ https://t.co/JzoamZB5X9,"Indiana, United States of America","(40.3270127, -86.1746933, 0.0)",40.3270127,-86.1746933,0.0
419,United Kingdom,"Tottenham forward Heung-min Son has donated 100million South Korean won (around £64,000) to a non-profit organisati… https://t.co/WHjGttXxpZ",United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
436,"New York, NY","Love this ""stock up on medications"" bullshit. What insurance plan lets you do that? None. 
CDC tells people over 60… https://t.co/4jIN6WE7et","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
437,The Dam Bois,@Vedrcc @dZ_NeoN Imagine lmao 2020 and coronavirus killing niggas like fuck and this dude talking bout being the “m… https://t.co/gpa360joFI,"Bois, Jonzac, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17240, France","(45.4885354, -0.5991034, 0.0)",45.4885354,-0.5991034,0.0
454,"New Brunswick, Canada",via @PerilofAfrica Trump has not been tested for coronavirus - White House: U.S. President Donald Trump has not bee… https://t.co/R6YBJIJIr6,"New Brunswick, Canada","(46.500283, -66.750183, 0.0)",46.500283,-66.750183,0.0
462,Hong Kong,"An unexpected positive contribution from the #coronavirus - reducing the military tension in the Persian Gulf region
https://t.co/8VYVWSX2rq","香港 Hong Kong, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 999077, China 中国","(22.2793278, 114.1628131, 0.0)",22.2793278,114.1628131,0.0
463,New York,Coronavirus: People with ‘minor signs’ may need to self-isolate – what does this mean? https://t.co/ifTZYtBZkl https://t.co/hCsY7deU8m,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
472,Parts Unknown,FEA Kickboxing announced the government of the Republic of Moldova has temporarily banned all public events in resp… https://t.co/IqsQyhd1Ob,"Bus Ticket Shop to other parts of Caldas, Calle 5, Pácora, Norte, Caldas, 172040, Colombia","(5.5276657, -75.4599016, 0.0)",5.5276657,-75.4599016,0.0
480,"Karachi, Pakistan","Exclusive statement by Commissioner Karachi on PSL matches at National Stadium Karachi.

#CoronaVirus #Karachi… https://t.co/wsc30SGUu5","ڪراچي Karachi, Karāchi District, سنڌ, پاکستان","(25.1446897, 67.1847767315734, 0.0)",25.1446897,67.1847767315734,0.0
490,"New Brunswick, Canada","via @PerilofAfrica Stocks savaged, Italy on lockdown, Trump seeks to reassure as coronavirus spreads: All of Italy… https://t.co/0u0NfBcehz","New Brunswick, Canada","(46.500283, -66.750183, 0.0)",46.500283,-66.750183,0.0
510,Ann Arbor,New payment plan?  Access to water is a human right.  This is absolutely disgusting.,"Ann Arbor, Washtenaw County, Michigan, United States of America","(42.2681569, -83.7312291, 0.0)",42.2681569,-83.7312291,0.0
512,Quincy MA,"""Typhoid Merry donald!"" https://t.co/g9H06x9k7s via @PalmerReport","Quincy, Norfolk, Massachusetts, 02169, United States of America","(42.2528772, -71.0022705, 0.0)",42.2528772,-71.0022705,0.0
528,toronto /🇵🇰,@Sehsan27 coronavirus messed with their heads innit,"Toronto, Golden Horseshoe, Ontario, M6K 1X9, Canada","(43.653963, -79.387207, 0.0)",43.653963,-79.387207,0.0
548,Tooting,"Can we all please stop calling it ""coronavirus"" and switch to ""the coronavirus"" - preferably in the style of Mrs. D… https://t.co/avPvWWljib","Tooting, London, Greater London, England, SW17 0HA, United Kingdom","(51.4266588, -0.1690768, 0.0)",51.4266588,-0.1690768,0.0
550,"Norwich, England","I'm gonna quit shitposting for a minute to say 3 is SO IMPORTANT. I could work an office job quite easily, except I… https://t.co/vNu8y3kKPs","Norwich, Norfolk, East of England, England, United Kingdom","(52.628606, 1.29227, 0.0)",52.628606,1.29227,0.0
559,United States,@Jack_Septic_Eye My school got shut down for 2 weeks because someone got the Coronavirus and i guarantee you they didn’t wash their hands,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
570,"Denver, CO","And DOJ is saying that IJs are management and their union needs to be decertified?

https://t.co/hMUfkQsUWZ… https://t.co/LnRqECa9ga","Denver, Denver County, Colorado, United States of America","(39.7392364, -104.9848623, 0.0)",39.7392364,-104.9848623,0.0
576,"Southwark and Lambeth, London",#coronavirus COVID-19 instructions from Archbishop @RC_Southwark as displayed at @PreciousBlood1 church in The Boro… https://t.co/jnFQeORjyO,"Southwark, Joan Street, Southwark, London Borough of Southwark, London, Greater London, England, SE1 8JZ, United Kingdom","(51.5040996, -0.1050541, 0.0)",51.5040996,-0.1050541,0.0
602,south shields,"Damn, why Coronavirus gotta do me like this?","South Shields, Tyne and Wear, North East England, England, NE33 1NF, United Kingdom","(54.9987414, -1.4321848, 0.0)",54.9987414,-1.4321848,0.0
605,United States,"@realDonaldTrump Does painting yourself orange help fight the coronavirus Mr. President ? If so , can you release t… https://t.co/hTwfW0ia7W",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
616,"Mumbai, India",Time PL went behind closed doors this GW onwards. Rather be proactive than reactive #coronavirus,"Mumbai, Mumbai City, Maharashtra, India","(18.9387711, 72.8353355, 0.0)",18.9387711,72.8353355,0.0
617,Melbourne,#Coronavirus I am on an immune system boosting product that has helped me not get sick for over 5 years now. Not ev… https://t.co/D3vnJUYgTY,"City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608, 0.0)",-37.8142176,144.9631608,0.0
626,"Detroit, MI","Maybe coronavirus will be enough finally get men to wash their hands after using the bathroom. Doubtful, but we can dream.","Detroit, Wayne County, Michigan, United States of America","(42.3315509, -83.0466403, 0.0)",42.3315509,-83.0466403,0.0
629,"Dubai, United Arab Emirates",Good morning????,"دبي, دبي‎, 24857, United Arab Emirates","(25.0657, 55.1713, 0.0)",25.0657,55.1713,0.0
645,"Zurich, Switzerland",gerald_bader : The dollars and cents of raising VC during the coronavirus pandemic via Danny Crichton… https://t.co/31EUvaFi06,"Zürich, Bezirk Zürich, Zürich, Switzerland","(47.3723941, 8.5423328, 0.0)",47.3723941,8.5423328,0.0
650,#USA,"@jd7_jd @leemack2 @alexandraphelan I think this is the tweet JD was referring to ..... https://t.co/lQpsltwwzQ

And… https://t.co/oj9PbKWZg8",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
656,Bilderberg Hotel,OMFG...,"Bilderberg Bellevue Hotel Dresden, 15, Große Meißner Straße, Innere Neustadt, Neustadt, Dresden, Sachsen, 01097, Deutschland","(51.0584948, 13.7389612, 0.0)",51.0584948,13.7389612,0.0
658,香港,"My favorite thing is people looking at me and then covering their mouths, asking me not to give them the coronaviru… https://t.co/BDey4A5RLl","香港 Hong Kong, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 999077, China 中国","(22.2793278, 114.1628131, 0.0)",22.2793278,114.1628131,0.0
678,"Atlanta, GA",The government is afraid of the information contained in MY NEW BOOK. Media is scared to report about it &amp; many peo… https://t.co/QgHj2ZqO2b,"Atlanta, Fulton County, Georgia, United States of America","(33.7490987, -84.3901849, 0.0)",33.7490987,-84.3901849,0.0
687,dublin/tipperary,"Secretary: why do you need gp
Me: sweating about the thought of saying ‘my ass fell off’ where other people can hea… https://t.co/ehAsqnBUZd","Dublin Road, Demense, Roscrea, The Municipal District of Thurles, County Tipperary, Munster, E53 YX67, Ireland","(52.9569855, -7.7878337, 0.0)",52.9569855,-7.7878337,0.0
689,香港,My second favorite is when I ask where people are and have them respond with they’re “sick with the coronavirus.”,"香港 Hong Kong, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 999077, China 中国","(22.2793278, 114.1628131, 0.0)",22.2793278,114.1628131,0.0
691,United States,"All of Italy and its 60 million residents are under lockdown as coronavirus cases now exceed 113,000 worldwide.",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
716,FEMA Region IX,"The Federal Reserve's power is evaporating as a direct consequence of the Coronavirus Fear Campaign.

Behold the an… https://t.co/vjbigBXKgi","Féma, Cercle d'Ansongo, Gao, Mali","(15.4891028, 0.574288, 0.0)",15.4891028,0.574288,0.0
725,De Baronie,"@chris6192001 @Mikel_Jollett Send this one

https://t.co/yNRYxalChp","De Baronie, Acquoy, West Betuwe, Gelderland, Nederland, 4151CG, Nederland","(51.8795272, 5.1333851, 0.0)",51.8795272,5.1333851,0.0
729,your mom's house,"@torriangray She'll do it on her goop show, make her staff get the virus too, discuss the positive aspects like how… https://t.co/rxb4Uf8RLN","Your Mom's House, 608, East 13th Avenue, Capitol Hill, Denver, Denver County, Colorado, 80203, United States of America","(39.7367877, -104.9795532, 0.0)",39.7367877,-104.9795532,0.0
738,"Albany, NY","Another major University moving to online courses: ""NYU switching to remote classes over coronavirus concerns""… https://t.co/cWrVdMEiaM","Albany, Albany County, New York, United States of America","(42.6511674, -73.754968, 0.0)",42.6511674,-73.754968,0.0
739,"Baltimore, MD",@SenatorRomney @RepJohnCurtis So do you think coronavirus is a scam to impeach your fearless leader?,"Baltimore, Maryland, 21203, United States of America","(39.2908816, -76.610759, 0.0)",39.2908816,-76.610759,0.0
746,860,i’m hopefully dropping a new video today 😎,"Hjørring Kommune, Region Nordjylland, Danmark","(57.46287325, 10.075579167610265, 0.0)",57.46287325,10.075579167610265,0.0
749,Riverdale ,Philippines only confirmed 33 but in fact there thousands more,"Riverdale, Cook County, Illinois, 60827, United States of America","(41.6333678, -87.6331021, 0.0)",41.6333678,-87.6331021,0.0
753,United Kingdom,David Squires on … British football's reaction to the coronavirus outbreak https://t.co/ej4ILzwwSL,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
761,New Jersey,we need to be better than this.,"New Jersey, United States of America","(40.0757384, -74.4041622, 0.0)",40.0757384,-74.4041622,0.0
767,"Minnesota, USA","A US medical worker who tested positive for the new coronavirus says his condition is 'getting worse' every day, ev… https://t.co/7o5XQNauQi","Minnesota, United States of America","(45.9896587, -94.6113288, 0.0)",45.9896587,-94.6113288,0.0
775,"St. John’s, Newfoundland",Richard Nixon level of paranoia.  Is Trump wandering the halls of the WH muttering to himself?  Is he yelling at th… https://t.co/HGkETzNAUI,"St. John's, Newfoundland, Newfoundland and Labrador, Canada","(47.561701, -52.715149, 0.0)",47.561701,-52.715149,0.0
799,Midwest USA,"@realDonaldTrump @foxandfriends @CNN #BREAKING 
Dear Leader is very pleased with Propaganda Minister Hannity and do… https://t.co/gnNr8f8864","Midwest, Natrona County, Wyoming, United States of America","(43.411391, -106.280075, 0.0)",43.411391,-106.280075,0.0
803,"Dun Laoghaire, Ireland",IRELAND - #EUexit 🇪🇺 #UNexit 🇺🇳... 🇮🇪,"Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 A258, Ireland","(53.2922794, -6.1360079, 0.0)",53.2922794,-6.1360079,0.0
807,World-Wide,"But in the shadow of the novel coronavirus outbreak, there could be a new meaning to the phrase March Madness.… https://t.co/fzuyfIFaJe","19, 環球大廈 World-Wide House, 中環 Central, 中區 Central District, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, China 中国","(22.2823025, 114.15786063390414, 0.0)",22.2823025,114.15786063390414,0.0
809,Mumbai,"One reason #coronavirus is causing a panic is because of its high transmission rate. 

I explain in the video serie… https://t.co/2R7amga4Hj","Mumbai, Mumbai City, Maharashtra, India","(18.9387711, 72.8353355, 0.0)",18.9387711,72.8353355,0.0
825,"Ithaca, NY",It’s all about slowing the rollout to conserve ICU beds.,"Ithaca, Ithaca Town, Tompkins County, New York, United States of America","(42.4396039, -76.4968019, 0.0)",42.4396039,-76.4968019,0.0
828,Singapore,"#GoldStandard .. Coronavirus: WHO praises Singapore's containment of Covid-19 outbreak, Health News &amp; Top Stories -… https://t.co/D2EV3tacmJ",Singapore,"(1.357107, 103.8194992, 0.0)",1.357107,103.8194992,0.0
836,USA,#Pierce County resident tests positive for coronavirus - Mar 10 @ 7:55 AM ET https://t.co/5SYNHWRf5p,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
838,United States,filed under I Don't Know How to Explain to You That You Should Care About Other People,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
840,"New York, NY","Air France-KLM expects to cancel 3,600 flights in March and for capacity on its European network to be cut by 25% a… https://t.co/B4vhzet90J","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
856,Lagos,Italy in lockdown as coronavirus restrictions extended nationwide - But the government assured its citizens that su… https://t.co/oXJf9qbVl2,"Lagos, Lagos Island, Lagos, 100242, Nigeria","(6.4550575, 3.3941795, 0.0)",6.4550575,3.3941795,0.0
858,"Philadelphia, PA","@GOPLeader “Chinese coronavirus”?? 
Something a racist would say.","Philadelphia, Philadelphia County, Pennsylvania, United States of America","(39.9527237, -75.1635262, 0.0)",39.9527237,-75.1635262,0.0
862,"Danbury, CT","😳 #Coronavirus aka #COVID19 can travel much farther than previously thought, study finds — 15 feet!… https://t.co/vu5UAAp6v6","Danbury, Fairfield, Connecticut, United States of America","(41.394817, -73.4540111, 0.0)",41.394817,-73.4540111,0.0
888,"Livingston, Scotland",I legit couldn’t give a shit about it until I thought about my sister she’s got next to no immune system. So with h… https://t.co/TwUp1rOmQi,"Livingston, West Lothian, Scotland, EH54 6HS, United Kingdom","(55.8831932, -3.5149461, 0.0)",55.8831932,-3.5149461,0.0
903,"Spokane, Wa",*known,"Spokane, Spokane County, Washington, United States of America","(47.6579425, -117.4212265, 0.0)",47.6579425,-117.4212265,0.0
917,"Nottingham, England","""“transform yourself to transform the world” ... this virus doesn’t stop because of blame, pointing at other people… https://t.co/2ldjBgO5t3","City of Nottingham, East Midlands, England, United Kingdom","(52.9534193, -1.1496461, 0.0)",52.9534193,-1.1496461,0.0
919,Limerick,"Coronavirus outbreak in Ireland could become very serious, minister says https://t.co/rt2Zk1qPwc

So comforting to… https://t.co/HqZsn1IFlx","Limerick, County Limerick, Munster, V94 A9NX, Ireland","(52.661252, -8.6301239, 0.0)",52.661252,-8.6301239,0.0
922,"Pune, India","$125M effort to find #coronavirus drugs started by @gatesfoundation, @wellcometrust, and @Mastercard

https://t.co/0Dq0QR4SI0","Pune, Pune City, Pune District, Maharashtra, 411001, India","(18.521428, 73.8544541, 0.0)",18.521428,73.8544541,0.0
925,Everywhere,Microsoft throws $1 million at Coronavirus (COVID-19) https://t.co/Grc9BXXYEN https://t.co/HIobcVwnAf,"Narrow path - thorn everywhere, Sântelec, Bihor, 417278, România","(46.9599823, 22.0541733, 0.0)",46.9599823,22.0541733,0.0
926,Canada,"BREAKING 
Royal Bank of #Canada confirms employee has contracted #coronavirus 🤦‍♂️

https://t.co/eyA9EoPwD7",Canada,"(61.0666922, -107.9917071, 0.0)",61.0666922,-107.9917071,0.0
934,Africa & Middle East,"A true germaphobe, Trump told aides he thinks journalists want to get coronavirus on purpose to spread it to him on… https://t.co/r1Ap6sA0ME","Out of Africa Parkway, Camp Verde, Yavapai County, Arizona, 86316, United States of America","(34.6208179, -111.9223693, 0.0)",34.6208179,-111.9223693,0.0
948,ireland,love on tour is happening idc if you have to wheel my corpse into that pit i’m GOING,Ireland,"(52.865196, -7.9794599, 0.0)",52.865196,-7.9794599,0.0
955,"London, England ",Oh dear.,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
